area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;001601;063;01;1;3;2;1;2;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;108,768769522905;010150001601;01015000160106301;010150001601063011;202602
1;010150;001601;063;02;1;3;1;4;3;5;2;3;2;3;3;0;1;1;5;2; ;1; ; ;2;3;1;2;5;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;108,768769522905;010150001601;01015000160106302;010150001601063021;202602
1;010150;001601;063;03;1;3;1;2;1;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2713;108,768769522905;010150001601;01015000160106303;010150001601063031;202602
1;010150;001601;063;04;1;1;1;4;2;5;2;3;2;3;2;0;1;1;1; ; ;1; ; ;1;2;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;108,768769522905;010150001601;01015000160106304;010150001601063041;202602
1;010150;001601;063;05;1;3;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;1;1;2; ;2; ;2; ;2; ;1;25;2; ;2; ;2713;108,768769522905;010150001601;01015000160106305;010150001601063051;202602
1;010150;001601;063;06;1;3;1;3;2;4;2;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;108,768769522905;010150001601;01015000160106306;010150001601063061;202602
1;010150;001601;063;07;1;3;1;2;1;2;1;3;2;7;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;1;2;1;1;2; ;2; ;1;10;1;80;2; ;2; ;2713;108,768769522905;010150001601;01015000160106307;010150001601063071;202602
1;010150;001704;055;01;1;3;2;6;2;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;31,7181403565247;010150001704;01015000170405501;010150001704055011;202602
1;010150;001704;055;02;1;1;1;2;2;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2713;31,7181403565247;010150001704;01015000170405502;010150001704055021;202602
1;010150;001704;055;03;1;3;1;4;2;2;2;3;2;8;7;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;31,7181403565247;010150001704;01015000170405503;010150001704055031;202602
1;010150;001704;055;04;1;3;1;2;2;2;2;1;1;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;2;2; ;2; ;2; ;1;0;1;60;2; ;2; ;2713;31,7181403565247;010150001704;01015000170405504;010150001704055041;202602
1;010150;001704;055;05;1;1;1;3;2;4;2;3;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;120;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;31,7181403565247;010150001704;01015000170405505;010150001704055051;202602
1;010150;001704;055;06;1;1;2;2;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;2;2; ;2; ;2; ;2; ;1;120;2; ;2; ;2713;31,7181403565247;010150001704;01015000170405506;010150001704055061;202602
1;010150;001704;055;07;1;3;1;2;3;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;3;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;31,7181403565247;010150001704;01015000170405507;010150001704055071;202602
1;010150;002502;081;02;1;1;1;3;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;78,8470631887792;010150002502;01015000250208102;010150002502081021;202602
1;010150;002502;081;03;1;1;2;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;78,8470631887792;010150002502;01015000250208103;010150002502081031;202602
1;010150;002502;081;04;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2712;78,8470631887792;010150002502;01015000250208104;010150002502081041;202602
1;010150;002502;081;05;1;1;2;2;1;4;1;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;78,8470631887792;010150002502;01015000250208105;010150002502081051;202602
1;010150;002502;081;07;1;1;1;2;1;2;1;1;1;8;7;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2712;78,8470631887792;010150002502;01015000250208107;010150002502081071;202602
